Index	Input Santa Fe	Target	Training result	Node vc difference
29	9.200000e+01	1.520000e+02	1.485134e+02	2.245297e+00
30	1.520000e+02	9.300000e+01	8.886675e+01	3.554857e+00
31	9.300000e+01	3.600000e+01	3.510892e+01	3.910945e+00
32	3.600000e+01	2.000000e+01	2.053135e+01	4.606597e+00
33	2.000000e+01	1.800000e+01	1.855008e+01	4.727458e+00
34	1.800000e+01	2.900000e+01	2.874353e+01	4.613060e+00
35	2.900000e+01	7.100000e+01	7.210451e+01	3.986142e+00
36	7.100000e+01	1.460000e+02	1.448293e+02	2.434550e+00
37	1.460000e+02	1.170000e+02	1.096856e+02	3.171946e+00
38	1.170000e+02	4.600000e+01	4.821674e+01	3.869765e+00
39	4.600000e+01	2.300000e+01	2.284712e+01	4.424139e+00
40	2.300000e+01	1.800000e+01	2.062967e+01	4.748619e+00
41	1.800000e+01	2.200000e+01	2.665509e+01	4.640567e+00
42	2.200000e+01	5.200000e+01	5.096091e+01	4.316353e+00
43	5.200000e+01	1.280000e+02	1.294756e+02	2.970692e+00
44	1.280000e+02	1.420000e+02	1.363261e+02	2.653729e+00
45	1.420000e+02	6.200000e+01	5.968881e+01	3.845810e+00
46	6.200000e+01	2.600000e+01	2.280111e+01	4.164818e+00
47	2.600000e+01	1.700000e+01	2.069229e+01	4.753847e+00
48	1.700000e+01	1.900000e+01	2.110002e+01	4.681737e+00
49	1.900000e+01	3.700000e+01	3.585857e+01	4.498723e+00
50	3.700000e+01	1.000000e+02	9.565464e+01	3.523903e+00
51	1.000000e+02	1.580000e+02	1.577949e+02	2.244269e+00
52	1.580000e+02	8.600000e+01	8.405954e+01	3.710125e+00
53	8.600000e+01	3.200000e+01	3.150888e+01	3.973204e+00
54	3.200000e+01	1.700000e+01	1.747200e+01	4.689692e+00
55	1.700000e+01	1.700000e+01	1.529197e+01	4.765436e+00
56	1.700000e+01	2.700000e+01	2.539721e+01	4.613200e+00
57	2.700000e+01	7.200000e+01	7.166725e+01	3.966222e+00
58	7.200000e+01	1.540000e+02	1.537737e+02	2.358128e+00
59	1.540000e+02	1.180000e+02	1.163802e+02	3.294864e+00
60	1.180000e+02	4.300000e+01	4.206801e+01	3.926402e+00
61	4.300000e+01	2.000000e+01	2.552260e+01	4.500392e+00
62	2.000000e+01	1.500000e+01	1.467694e+01	4.802709e+00
63	1.500000e+01	2.100000e+01	2.221154e+01	4.692018e+00
64	2.100000e+01	4.700000e+01	5.034713e+01	4.313614e+00
65	4.700000e+01	1.280000e+02	1.278533e+02	3.040332e+00
66	1.280000e+02	1.500000e+02	1.481637e+02	2.596706e+00
67	1.500000e+02	6.300000e+01	6.049321e+01	3.907834e+00
68	6.300000e+01	2.400000e+01	2.230872e+01	4.175831e+00
69	2.400000e+01	1.600000e+01	1.153310e+01	4.800519e+00
70	1.600000e+01	1.700000e+01	2.148442e+01	4.695509e+00
71	1.700000e+01	3.300000e+01	3.547020e+01	4.542932e+00
72	3.300000e+01	9.200000e+01	9.168360e+01	3.625825e+00
73	9.200000e+01	1.660000e+02	1.596734e+02	2.177653e+00
74	1.660000e+02	9.500000e+01	9.443163e+01	3.706974e+00
75	9.500000e+01	3.300000e+01	3.364916e+01	3.965371e+00
76	3.300000e+01	1.600000e+01	1.975153e+01	4.708008e+00
77	1.600000e+01	1.400000e+01	1.429679e+01	4.812294e+00
78	1.400000e+01	2.200000e+01	2.258358e+01	4.677160e+00
79	2.200000e+01	5.800000e+01	5.973506e+01	4.140870e+00
80	5.800000e+01	1.490000e+02	1.527010e+02	2.627925e+00
81	1.490000e+02	1.370000e+02	1.381783e+02	3.030572e+00
82	1.370000e+02	5.000000e+01	4.809633e+01	3.979851e+00
83	5.000000e+01	2.000000e+01	1.970442e+01	4.388511e+00
84	2.000000e+01	1.500000e+01	1.336442e+01	4.848502e+00
85	1.500000e+01	1.600000e+01	1.828121e+01	4.698193e+00
86	1.600000e+01	3.500000e+01	3.269538e+01	4.497394e+00
87	3.500000e+01	1.060000e+02	1.025982e+02	3.456522e+00
88	1.060000e+02	1.690000e+02	1.677819e+02	2.218195e+00
89	1.690000e+02	8.200000e+01	8.040547e+01	3.872742e+00
90	8.200000e+01	2.800000e+01	2.597904e+01	4.029520e+00
91	2.800000e+01	1.500000e+01	1.459085e+01	4.795708e+00
92	1.500000e+01	1.400000e+01	1.247953e+01	4.787647e+00
93	1.400000e+01	2.300000e+01	2.381908e+01	4.660989e+00
94	2.300000e+01	6.500000e+01	6.481978e+01	4.027723e+00
95	6.500000e+01	1.600000e+02	1.640049e+02	2.415579e+00
96	1.600000e+02	1.330000e+02	1.295120e+02	3.288032e+00
97	1.330000e+02	4.500000e+01	4.587178e+01	4.044607e+00
98	4.500000e+01	1.800000e+01	1.899751e+01	4.515835e+00
99	1.800000e+01	1.400000e+01	1.393361e+01	4.886892e+00
100	1.400000e+01	1.600000e+01	1.880091e+01	4.717374e+00
101	1.600000e+01	3.600000e+01	3.487627e+01	4.461620e+00
102	3.600000e+01	1.110000e+02	1.118737e+02	3.368935e+00
103	1.110000e+02	1.760000e+02	1.725624e+02	2.264806e+00
104	1.760000e+02	8.000000e+01	7.665220e+01	3.988751e+00
105	8.000000e+01	2.600000e+01	2.527645e+01	4.083800e+00
106	2.600000e+01	1.400000e+01	1.569319e+01	4.849968e+00
107	1.400000e+01	1.300000e+01	1.287276e+01	4.800496e+00
108	1.300000e+01	2.000000e+01	2.117808e+01	4.680398e+00
109	2.000000e+01	6.000000e+01	5.708123e+01	4.082190e+00
110	6.000000e+01	1.630000e+02	1.627897e+02	2.492508e+00
111	1.630000e+02	1.400000e+02	1.359556e+02	3.258595e+00
112	1.400000e+02	4.500000e+01	4.649129e+01	4.107080e+00
113	4.500000e+01	1.800000e+01	1.675846e+01	4.527402e+00
114	1.800000e+01	1.200000e+01	1.530804e+01	4.899912e+00
115	1.200000e+01	1.400000e+01	1.186275e+01	4.760498e+00
116	1.400000e+01	3.000000e+01	3.256990e+01	4.524747e+00
117	3.000000e+01	9.800000e+01	9.671965e+01	3.557014e+00
118	9.800000e+01	1.850000e+02	1.870666e+02	2.088698e+00
119	1.850000e+02	9.300000e+01	8.947878e+01	3.956066e+00
120	9.300000e+01	2.800000e+01	2.680028e+01	4.061405e+00
121	2.800000e+01	1.400000e+01	1.542291e+01	4.862259e+00
122	1.400000e+01	1.200000e+01	1.150673e+01	4.856262e+00
123	1.200000e+01	1.700000e+01	1.864057e+01	4.719012e+00
124	1.700000e+01	4.600000e+01	4.440764e+01	4.232020e+00
125	4.600000e+01	1.450000e+02	1.463190e+02	2.883409e+00
126	1.450000e+02	1.670000e+02	1.624316e+02	2.811667e+00
127	1.670000e+02	5.800000e+01	5.508123e+01	4.191281e+00
128	5.800000e+01	1.900000e+01	1.962508e+01	4.350774e+00
129	1.900000e+01	1.100000e+01	1.397276e+01	4.944804e+00
130	1.100000e+01	1.200000e+01	1.218180e+01	4.803559e+00
131	1.200000e+01	2.100000e+01	2.344347e+01	4.631274e+00
132	2.100000e+01	6.800000e+01	7.020862e+01	3.915950e+00
133	6.800000e+01	1.830000e+02	1.832878e+02	2.210791e+00
134	1.830000e+02	1.320000e+02	1.271758e+02	3.627691e+00
135	1.320000e+02	3.800000e+01	4.031323e+01	4.176451e+00
136	3.800000e+01	1.500000e+01	1.451315e+01	4.714378e+00
137	1.500000e+01	1.100000e+01	1.220428e+01	4.950619e+00
138	1.100000e+01	1.300000e+01	1.139990e+01	4.773573e+00
139	1.300000e+01	2.600000e+01	2.796614e+01	4.482988e+00
140	2.600000e+01	9.300000e+01	8.985160e+01	3.614763e+00
141	9.300000e+01	2.020000e+02	1.962207e+02	2.011332e+00
142	2.020000e+02	1.000000e+02	1.021041e+02	4.047566e+00
143	1.000000e+02	2.700000e+01	2.575995e+01	4.131700e+00
144	2.700000e+01	1.200000e+01	1.379911e+01	4.934407e+00
145	1.200000e+01	1.000000e+01	8.425403e+00	4.926630e+00
146	1.000000e+01	1.300000e+01	1.329428e+01	4.764671e+00
147	1.300000e+01	3.000000e+01	3.420491e+01	4.347318e+00
148	3.000000e+01	1.140000e+02	1.122067e+02	3.372924e+00
149	1.140000e+02	2.060000e+02	2.002912e+02	2.202323e+00
150	2.060000e+02	8.200000e+01	7.865786e+01	4.277133e+00
151	8.200000e+01	2.100000e+01	2.167751e+01	4.216728e+00
152	2.100000e+01	1.100000e+01	1.573236e+01	5.036894e+00
153	1.100000e+01	9.000000e+00	1.138915e+01	4.883439e+00
154	9.000000e+00	1.000000e+01	1.783569e+01	4.770025e+00
155	1.000000e+01	3.000000e+01	2.599312e+01	4.346735e+00
156	3.000000e+01	1.200000e+02	1.156895e+02	3.304467e+00
157	1.200000e+02	2.150000e+02	2.118971e+02	2.254392e+00
158	2.150000e+02	7.700000e+01	7.701417e+01	4.409118e+00
159	7.700000e+01	2.000000e+01	2.067478e+01	4.295564e+00
160	2.000000e+01	1.000000e+01	1.102737e+01	5.068069e+00
161	1.000000e+01	8.000000e+00	6.234637e+00	4.900292e+00
162	8.000000e+00	9.000000e+00	9.121828e+00	4.796113e+00
163	9.000000e+00	2.100000e+01	2.575743e+01	4.354707e+00
164	2.100000e+01	9.500000e+01	8.201497e+01	3.592900e+00
165	9.500000e+01	2.340000e+02	2.292125e+02	1.899925e+00
166	2.340000e+02	9.900000e+01	9.960199e+01	4.336722e+00
167	9.900000e+01	2.200000e+01	2.361021e+01	4.296421e+00
168	2.200000e+01	9.000000e+00	1.209073e+01	5.118686e+00
169	9.000000e+00	8.000000e+00	7.464820e+00	4.998253e+00
170	8.000000e+00	7.000000e+00	1.426613e+01	4.809439e+00
171	7.000000e+00	9.000000e+00	1.418692e+01	4.486607e+00
172	9.000000e+00	3.500000e+01	3.061079e+01	4.066541e+00
173	3.500000e+01	1.760000e+02	1.581557e+02	2.819479e+00
174	1.760000e+02	2.150000e+02	2.091291e+02	3.132122e+00
175	2.150000e+02	4.600000e+01	4.578190e+01	4.890474e+00
176	4.600000e+01	1.100000e+01	8.743343e+00	4.797892e+00
177	1.100000e+01	7.000000e+00	4.482095e+00	5.166526e+00
178	7.000000e+00	5.000000e+00	-1.392799e+00	4.892864e+00
179	5.000000e+00	4.000000e+00	7.950956e-01	4.745955e+00
180	4.000000e+00	3.000000e+00	-2.078777e-01	4.392213e+00
181	3.000000e+00	4.000000e+00	1.712996e+01	4.141766e+00
182	4.000000e+00	1.900000e+01	2.777536e+01	4.089392e+00
183	1.900000e+01	1.050000e+02	1.016148e+02	3.523199e+00
184	1.050000e+02	1.250000e+02	1.410783e+02	1.750109e+00
185	1.250000e+02	5.500000e+01	6.205425e+01	3.571551e+00
186	5.500000e+01	3.000000e+01	2.735194e+01	4.272925e+00
187	3.000000e+01	2.800000e+01	1.907101e+01	4.748760e+00
188	2.800000e+01	4.100000e+01	3.974681e+01	4.553670e+00
189	4.100000e+01	7.100000e+01	6.856339e+01	4.069925e+00
190	7.100000e+01	9.800000e+01	1.035716e+02	2.760223e+00
191	9.800000e+01	7.900000e+01	8.343448e+01	2.719864e+00
192	7.900000e+01	4.900000e+01	4.995566e+01	3.400452e+00
193	4.900000e+01	3.400000e+01	3.663518e+01	4.027688e+00
194	3.400000e+01	3.300000e+01	3.445824e+01	4.318002e+00
195	3.300000e+01	4.700000e+01	4.401301e+01	4.300157e+00
196	4.700000e+01	7.500000e+01	7.860141e+01	3.763733e+00
197	7.500000e+01	9.500000e+01	9.872552e+01	2.783772e+00
198	9.500000e+01	7.600000e+01	7.821520e+01	2.953801e+00
199	7.600000e+01	4.800000e+01	4.657967e+01	3.565479e+00
200	4.800000e+01	3.400000e+01	3.283477e+01	4.092102e+00
201	3.400000e+01	3.500000e+01	3.140470e+01	4.321082e+00
202	3.500000e+01	4.900000e+01	5.121521e+01	4.230531e+00
203	4.900000e+01	7.800000e+01	7.877761e+01	3.656620e+00
204	7.800000e+01	9.600000e+01	9.912966e+01	2.681772e+00
205	9.600000e+01	7.500000e+01	7.724712e+01	2.968845e+00
206	7.500000e+01	4.700000e+01	4.773607e+01	3.622191e+00
207	4.700000e+01	3.400000e+01	3.333112e+01	4.160729e+00
208	3.400000e+01	3.400000e+01	3.229266e+01	4.355080e+00
209	3.400000e+01	4.900000e+01	4.787835e+01	4.262093e+00
210	4.900000e+01	8.100000e+01	8.157604e+01	3.622680e+00
211	8.100000e+01	9.900000e+01	1.017029e+02	2.600749e+00
212	9.900000e+01	7.600000e+01	7.878332e+01	3.007511e+00
213	7.600000e+01	4.600000e+01	4.160591e+01	3.651463e+00
214	4.600000e+01	3.200000e+01	3.310686e+01	4.198090e+00
215	3.200000e+01	3.300000e+01	2.924163e+01	4.404161e+00
216	3.300000e+01	4.900000e+01	4.793359e+01	4.295931e+00
217	4.900000e+01	8.300000e+01	8.127276e+01	3.594999e+00
218	8.300000e+01	1.010000e+02	1.034729e+02	2.570296e+00
219	1.010000e+02	7.400000e+01	7.462614e+01	3.048085e+00
220	7.400000e+01	4.400000e+01	4.353718e+01	3.677342e+00
221	4.400000e+01	3.200000e+01	2.953145e+01	4.231362e+00
222	3.200000e+01	3.300000e+01	3.079361e+01	4.388271e+00
223	3.300000e+01	5.000000e+01	4.854165e+01	4.282857e+00
224	5.000000e+01	8.500000e+01	8.391526e+01	3.549810e+00
225	8.500000e+01	1.030000e+02	1.052530e+02	2.543199e+00
226	1.030000e+02	7.300000e+01	7.728136e+01	3.088315e+00
227	7.300000e+01	4.300000e+01	4.035010e+01	3.722626e+00
228	4.300000e+01	3.000000e+01	3.003499e+01	4.260071e+00
229	3.000000e+01	3.100000e+01	2.808324e+01	4.432335e+00
230	3.100000e+01	4.900000e+01	4.330872e+01	4.313082e+00
231	4.900000e+01	8.500000e+01	8.604590e+01	3.539781e+00
232	8.500000e+01	1.060000e+02	1.070681e+02	2.508414e+00
233	1.060000e+02	7.400000e+01	7.919065e+01	3.099316e+00
234	7.400000e+01	4.300000e+01	4.353959e+01	3.726583e+00
235	4.300000e+01	3.100000e+01	2.892561e+01	4.276815e+00
236	3.100000e+01	3.100000e+01	3.347081e+01	4.427257e+00
237	3.100000e+01	4.900000e+01	4.676969e+01	4.328847e+00
238	4.900000e+01	8.700000e+01	8.762462e+01	3.546839e+00
239	8.700000e+01	1.090000e+02	1.073060e+02	2.504370e+00
240	1.090000e+02	7.600000e+01	7.654060e+01	3.131694e+00
241	7.600000e+01	4.100000e+01	4.208542e+01	3.740218e+00
242	4.100000e+01	2.900000e+01	2.604192e+01	4.319934e+00
243	2.900000e+01	3.000000e+01	3.050940e+01	4.465947e+00
244	3.000000e+01	4.700000e+01	4.518661e+01	4.338509e+00
245	4.700000e+01	8.700000e+01	8.364684e+01	3.580327e+00
246	8.700000e+01	1.100000e+02	1.143179e+02	2.462924e+00
247	1.100000e+02	7.600000e+01	7.948057e+01	3.119396e+00
248	7.600000e+01	4.100000e+01	4.029557e+01	3.732200e+00
249	4.100000e+01	2.800000e+01	2.822096e+01	4.328318e+00
250	2.800000e+01	3.000000e+01	2.940443e+01	4.479100e+00
251	3.000000e+01	4.700000e+01	4.585674e+01	4.342023e+00
252	4.700000e+01	8.800000e+01	8.451104e+01	3.579315e+00
253	8.800000e+01	1.140000e+02	1.111246e+02	2.459864e+00
254	1.140000e+02	7.900000e+01	7.972981e+01	3.155384e+00
255	7.900000e+01	4.100000e+01	4.226248e+01	3.749295e+00
256	4.100000e+01	2.800000e+01	2.793579e+01	4.359108e+00
257	2.800000e+01	2.800000e+01	2.858717e+01	4.503871e+00
258	2.800000e+01	4.500000e+01	4.156582e+01	4.398346e+00
259	4.500000e+01	8.600000e+01	8.562998e+01	3.626406e+00
260	8.600000e+01	1.170000e+02	1.148633e+02	2.450688e+00
261	1.170000e+02	8.200000e+01	8.426549e+01	3.129796e+00
262	8.200000e+01	4.200000e+01	4.374354e+01	3.737995e+00
263	4.200000e+01	2.600000e+01	2.546405e+01	4.351523e+00
264	2.600000e+01	2.600000e+01	2.509565e+01	4.548969e+00
265	2.600000e+01	4.300000e+01	4.127829e+01	4.439090e+00
266	4.300000e+01	8.400000e+01	8.344015e+01	3.690730e+00
267	8.400000e+01	1.190000e+02	1.181899e+02	2.437894e+00
268	1.190000e+02	8.500000e+01	8.794556e+01	3.092943e+00
269	8.500000e+01	4.200000e+01	4.329310e+01	3.708957e+00
270	4.200000e+01	2.600000e+01	2.429982e+01	4.354500e+00
271	2.600000e+01	2.500000e+01	2.407412e+01	4.557520e+00
272	2.500000e+01	3.900000e+01	3.831103e+01	4.459842e+00
273	3.900000e+01	8.000000e+01	8.013243e+01	3.798537e+00
274	8.000000e+01	1.210000e+02	1.183552e+02	2.460082e+00
275	1.210000e+02	9.000000e+01	9.495418e+01	3.042863e+00
276	9.000000e+01	4.300000e+01	4.801165e+01	3.691263e+00
277	4.300000e+01	2.600000e+01	2.467441e+01	4.341087e+00
278	2.600000e+01	2.400000e+01	2.223403e+01	4.567482e+00
279	2.400000e+01	3.600000e+01	3.470150e+01	4.490539e+00
280	3.600000e+01	7.600000e+01	7.273983e+01	3.906048e+00
281	7.600000e+01	1.230000e+02	1.231187e+02	2.515228e+00
282	1.230000e+02	9.600000e+01	9.790751e+01	2.974341e+00
283	9.600000e+01	4.600000e+01	4.803117e+01	3.667591e+00
284	4.600000e+01	2.600000e+01	2.530539e+01	4.299484e+00
285	2.600000e+01	2.300000e+01	2.533192e+01	4.590715e+00
286	2.300000e+01	3.500000e+01	3.312920e+01	4.526036e+00
287	3.500000e+01	7.200000e+01	7.455105e+01	3.964341e+00
288	7.200000e+01	1.230000e+02	1.227068e+02	2.592837e+00
289	1.230000e+02	1.020000e+02	1.011151e+02	2.908265e+00
290	1.020000e+02	5.000000e+01	4.514012e+01	3.653643e+00
291	5.000000e+01	2.700000e+01	2.946183e+01	4.240330e+00
292	2.700000e+01	2.200000e+01	2.188417e+01	4.607616e+00
293	2.200000e+01	3.100000e+01	2.986828e+01	4.557776e+00
294	3.100000e+01	6.400000e+01	6.213730e+01	4.097781e+00
295	6.400000e+01	1.210000e+02	1.206115e+02	2.764064e+00
296	1.210000e+02	1.100000e+02	1.094398e+02	2.746543e+00
297	1.100000e+02	5.300000e+01	5.195480e+01	3.618060e+00
298	5.300000e+01	2.700000e+01	2.923086e+01	4.179913e+00
299	2.700000e+01	2.100000e+01	1.878965e+01	4.614099e+00
300	2.100000e+01	2.800000e+01	2.550136e+01	4.575794e+00
301	2.800000e+01	5.700000e+01	5.886255e+01	4.211346e+00
302	5.700000e+01	1.170000e+02	1.187710e+02	2.966953e+00
303	1.170000e+02	1.200000e+02	1.214388e+02	2.600275e+00
304	1.200000e+02	5.900000e+01	5.918158e+01	3.593579e+00
305	5.900000e+01	2.800000e+01	2.428331e+01	4.099604e+00
306	2.800000e+01	2.000000e+01	1.923967e+01	4.624955e+00
307	2.000000e+01	2.500000e+01	2.365141e+01	4.600658e+00
308	2.500000e+01	4.900000e+01	4.666508e+01	4.334507e+00
309	4.900000e+01	1.090000e+02	1.103803e+02	3.230096e+00
310	1.090000e+02	1.280000e+02	1.309835e+02	2.432804e+00
311	1.280000e+02	6.800000e+01	6.579027e+01	3.539320e+00
312	6.800000e+01	3.100000e+01	3.122426e+01	3.988246e+00
313	3.100000e+01	2.000000e+01	2.078268e+01	4.593821e+00
314	2.000000e+01	2.300000e+01	2.271530e+01	4.630043e+00
315	2.300000e+01	4.300000e+01	4.021269e+01	4.435176e+00
316	4.300000e+01	9.800000e+01	9.909002e+01	3.477648e+00
317	9.800000e+01	1.350000e+02	1.377279e+02	2.323155e+00
318	1.350000e+02	7.700000e+01	8.136135e+01	3.448771e+00
319	7.700000e+01	3.400000e+01	3.643875e+01	3.894260e+00
320	3.400000e+01	2.200000e+01	2.014876e+01	4.557252e+00
321	2.200000e+01	2.200000e+01	2.182784e+01	4.622865e+00
322	2.200000e+01	3.600000e+01	3.871443e+01	4.493153e+00
323	3.600000e+01	8.600000e+01	8.221713e+01	3.754578e+00
324	8.600000e+01	1.390000e+02	1.387489e+02	2.297327e+00
325	1.390000e+02	9.100000e+01	9.410487e+01	3.314545e+00
326	9.100000e+01	3.800000e+01	4.013506e+01	3.820129e+00
327	3.800000e+01	2.100000e+01	1.743745e+01	4.507305e+00
328	2.100000e+01	1.900000e+01	1.941784e+01	4.689882e+00
329	1.900000e+01	3.000000e+01	2.789661e+01	4.582204e+00
330	3.000000e+01	7.300000e+01	7.123909e+01	3.992700e+00
331	7.300000e+01	1.370000e+02	1.422851e+02	2.448928e+00
332	1.370000e+02	1.070000e+02	1.113991e+02	3.071750e+00
333	1.070000e+02	4.400000e+01	4.766304e+01	3.764579e+00
334	4.400000e+01	2.300000e+01	2.255237e+01	4.397446e+00
335	2.300000e+01	1.900000e+01	1.891274e+01	4.696332e+00
336	1.900000e+01	2.600000e+01	2.794544e+01	4.597393e+00
337	2.600000e+01	5.900000e+01	5.804765e+01	4.183609e+00
338	5.900000e+01	1.290000e+02	1.312595e+02	2.787367e+00
339	1.290000e+02	1.250000e+02	1.241713e+02	2.761345e+00
340	1.250000e+02	5.500000e+01	5.424781e+01	3.748198e+00
341	5.500000e+01	2.400000e+01	2.463962e+01	4.213999e+00
342	2.400000e+01	1.800000e+01	1.549679e+01	4.725117e+00
343	1.800000e+01	2.200000e+01	2.221504e+01	4.638531e+00
344	2.200000e+01	4.700000e+01	4.326330e+01	4.377722e+00
345	4.700000e+01	1.140000e+02	1.170043e+02	3.202428e+00
346	1.140000e+02	1.400000e+02	1.405091e+02	2.438382e+00
347	1.400000e+02	6.800000e+01	6.508622e+01	3.690318e+00
348	6.800000e+01	2.800000e+01	2.850815e+01	4.042698e+00
349	2.800000e+01	1.800000e+01	1.617440e+01	4.698907e+00
350	1.800000e+01	1.900000e+01	2.071623e+01	4.668579e+00
351	1.900000e+01	3.600000e+01	3.209439e+01	4.524298e+00
352	3.600000e+01	9.300000e+01	9.430600e+01	3.624795e+00
353	9.300000e+01	1.500000e+02	1.514459e+02	2.232325e+00
354	1.500000e+02	8.800000e+01	9.096020e+01	3.537398e+00
355	8.800000e+01	3.400000e+01	3.252707e+01	3.901946e+00
356	3.400000e+01	1.900000e+01	1.776114e+01	4.614935e+00
357	1.900000e+01	1.800000e+01	2.010643e+01	4.723023e+00
358	1.800000e+01	2.800000e+01	2.675308e+01	4.594523e+00
359	2.800000e+01	7.200000e+01	7.013546e+01	3.984625e+00
360	7.200000e+01	1.470000e+02	1.501377e+02	2.404173e+00
361	1.470000e+02	1.120000e+02	1.156062e+02	3.202520e+00
362	1.120000e+02	4.300000e+01	4.570882e+01	3.849589e+00
363	4.300000e+01	2.000000e+01	2.016751e+01	4.450022e+00
364	2.000000e+01	1.600000e+01	1.160621e+01	4.769734e+00
365	1.600000e+01	2.300000e+01	2.205236e+01	4.663316e+00
366	2.300000e+01	5.300000e+01	5.496875e+01	4.250034e+00
367	5.300000e+01	1.310000e+02	1.334087e+02	2.898129e+00
368	1.310000e+02	1.370000e+02	1.402776e+02	2.706356e+00
369	1.370000e+02	5.800000e+01	5.970374e+01	3.827857e+00
370	5.800000e+01	2.400000e+01	2.339936e+01	4.206256e+00
371	2.400000e+01	1.600000e+01	1.624168e+01	4.765292e+00
372	1.600000e+01	1.900000e+01	1.752391e+01	4.693710e+00
373	1.900000e+01	3.800000e+01	3.925390e+01	4.468205e+00
374	3.800000e+01	1.040000e+02	1.073151e+02	3.467530e+00
375	1.040000e+02	1.560000e+02	1.532116e+02	2.263265e+00
376	1.560000e+02	8.000000e+01	7.935638e+01	3.726406e+00
377	8.000000e+01	3.000000e+01	2.901344e+01	3.986228e+00
378	3.000000e+01	1.700000e+01	1.758470e+01	4.706760e+00
379	1.700000e+01	1.600000e+01	1.728020e+01	4.728619e+00
380	1.600000e+01	2.800000e+01	2.743505e+01	4.621070e+00
381	2.800000e+01	7.500000e+01	7.657329e+01	3.913182e+00
382	7.500000e+01	1.560000e+02	1.564040e+02	2.297843e+00
383	1.560000e+02	1.120000e+02	1.099271e+02	3.367932e+00
384	1.120000e+02	4.000000e+01	4.116862e+01	3.911588e+00
385	4.000000e+01	1.800000e+01	1.951628e+01	4.533085e+00
386	1.800000e+01	1.500000e+01	1.686642e+01	4.816386e+00
387	1.500000e+01	2.100000e+01	2.348137e+01	4.671834e+00
388	2.100000e+01	5.100000e+01	4.954071e+01	4.273743e+00
389	5.100000e+01	1.320000e+02	1.332843e+02	2.899913e+00
390	1.320000e+02	1.450000e+02	1.445304e+02	2.698505e+00
391	1.450000e+02	5.900000e+01	5.814302e+01	3.903356e+00
392	5.900000e+01	2.200000e+01	2.123743e+01	4.222307e+00
393	2.200000e+01	1.500000e+01	1.095898e+01	4.823811e+00
394	1.500000e+01	1.700000e+01	1.760774e+01	4.711533e+00
395	1.700000e+01	3.200000e+01	3.249904e+01	4.515840e+00
396	3.200000e+01	9.600000e+01	9.053459e+01	3.616481e+00
397	9.600000e+01	1.640000e+02	1.697161e+02	2.160334e+00
398	1.640000e+02	8.900000e+01	9.004108e+01	3.722920e+00
399	8.900000e+01	3.000000e+01	3.083760e+01	3.977111e+00
400	3.000000e+01	1.600000e+01	1.832532e+01	4.738833e+00
401	1.600000e+01	1.400000e+01	1.494988e+01	4.790306e+00
402	1.400000e+01	2.400000e+01	2.303727e+01	4.670968e+00
403	2.400000e+01	6.200000e+01	6.583496e+01	4.050207e+00
404	6.200000e+01	1.530000e+02	1.530955e+02	2.516944e+00
405	1.530000e+02	1.300000e+02	1.334909e+02	3.148744e+00
406	1.300000e+02	4.600000e+01	4.573383e+01	3.965603e+00
407	4.600000e+01	1.900000e+01	2.019070e+01	4.459906e+00
408	1.900000e+01	1.300000e+01	1.817521e+01	4.848354e+00
409	1.300000e+01	1.700000e+01	1.727927e+01	4.730579e+00
